name,state,country,population,latitude,longitude,percentageOfSessions
Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,3095454,-34.60841638,-58.37213468,
Córdoba,Córdoba,Argentina,1488572,-31.41680447,-64.18360653,
Rosario,Santa Fe,Argentina,1030069,-32.94721338,-60.63317558,
Salta,Salta,Argentina,587497,-24.78927203,-65.41028604,
San Miguel de Tucumán,Tucumán,Argentina,587289,-26.83038876,-65.2037797,
Mar del Plata,Buenos Aires,Argentina,564937,-37.99761058,-57.54816222,
Corrientes,Corrientes,Argentina,425525,-27.46334501,-58.83947285,
Santa Fe,Santa Fe,Argentina,405264,-31.65747495,-60.71047844,
Posadas,Misiones,Argentina,320927,-27.36642598,-55.89398028,
Santiago del Estero,Santiago del Estero,Argentina,310564,-27.78768447,-64.25966807,
Bahía Blanca,Buenos Aires,Argentina,310215,-38.71760509,-62.26544693,
San Salvador de Jujuy,Jujuy,Argentina,308646,-24.18582867,-65.29948308,
Resistencia,Chaco,Argentina,297910,-27.45107571,-58.98648353,
José C. Paz,Buenos Aires,Argentina,295236,-34.52174634,-58.75537408,
Merlo,Buenos Aires,Argentina,289536,-34.66498323,-58.72794811,
Neuquén,Neuquén,Argentina,289460,-38.95182882,-68.05918131,
González Catán,Buenos Aires,Argentina,287036,-34.77302531,-58.64403939,
Quilmes,Buenos Aires,Argentina,286603,-34.72006762,-58.25434698,
Paraná,Entre Ríos,Argentina,268871,-31.74016016,-60.52742605,
Formosa,Formosa,Argentina,254648,-26.18500898,-58.17489648,
Gregorio de Laferrere,Buenos Aires,Argentina,253993,-34.74699358,-58.5892568,
La Plata,Buenos Aires,Argentina,218815,-34.92135192,-57.95450265,
Lanús,Buenos Aires,Argentina,215823,-34.70377094,-58.40056031,
La Rioja,La Rioja,Argentina,208711,-29.41288422,-66.85582798,
Virrey del Pino,Buenos Aires,Argentina,207478,-34.8376536,-58.64696822,
San Luis,San Luis,Argentina,206754,-33.30208648,-66.33685457,
Moreno,Buenos Aires,Argentina,195044,-34.65129233,-58.79000192,
Berazategui,Buenos Aires,Argentina,190160,-34.76301631,-58.21216915,
Rafael Castillo,Buenos Aires,Argentina,187922,-34.70909853,-58.62563352,
San Fernando del Valle de Catamarca,Catamarca,Argentina,185796,-28.46901324,-65.77891735,
Río Cuarto,Córdoba,Argentina,180342,-33.12383693,-64.34900322,
Isidro Casanova,Buenos Aires,Argentina,171820,-34.71097027,-58.58580842,
Concordia,Entre Ríos,Argentina,163381,-31.39196482,-58.01700778,
Monte Grande,Buenos Aires,Argentina,161647,-34.8163558,-58.46826423,
San Nicolás de los Arroyos,Buenos Aires,Argentina,154080,-33.32758104,-60.21705805,
San Juan Bautista,Buenos Aires,Argentina,144484,-34.80898577,-58.27615002,
Tandil,Buenos Aires,Argentina,139172,-37.32869548,-59.13689756,
San Rafael,Mendoza,Argentina,138420,-34.61286138,-68.33041698,
Comodoro Rivadavia,Chubut,Argentina,134905,-45.86541815,-67.48215977,
General Rodríguez,Buenos Aires,Argentina,132630,-34.60643107,-58.95216064,
Ituzaingó,Buenos Aires,Argentina,132254,-34.66038849,-58.66616751,
Trujui,Buenos Aires,Argentina,131155,-34.59073747,-58.75562549,
La Banda,Santiago del Estero,Argentina,130628,-27.73065025,-64.24336045,
Santa María,Buenos Aires,Argentina,128064,-34.55851487,-58.76129514,
San Carlos de Bariloche,Río Negro,Argentina,126818,-41.13419669,-71.31095831,
Bernal,Buenos Aires,Argentina,125604,-34.71090205,-58.28339212,
Mendoza,Mendoza,Argentina,123715,-32.88973255,-68.84444423,
San Justo,Buenos Aires,Argentina,118999,-34.68114175,-58.5637386,
Libertad,Buenos Aires,Argentina,117049,-34.69863752,-58.69023246,
Villa Mercedes,San Luis,Argentina,116836,-33.67447098,-65.46219778,
Santa Rosa,La Pampa,Argentina,116009,-36.62040119,-64.29063004,
Río Gallegos,Santa Cruz,Argentina,115524,-51.62346327,-69.21586453,
San Juan,San Juan,Argentina,114849,-31.53725904,-68.52501721,
San José,Buenos Aires,Argentina,114021,-34.76363236,-58.34339147,
Villa Krause,San Juan,Argentina,110698,-31.58188729,-68.54211386,
Castelar,Buenos Aires,Argentina,110684,-34.65182053,-58.64604751,
Zárate,Buenos Aires,Argentina,109564,-34.09580509,-59.02432323,
