code,name,state,territory,country,quiz,latitude,longitude,population,national_capital,state_capital,manually_added,nicknames,db_match
mexico-1,Ciudad de México,Ciudad de México,,Mexico,mexico,19.4326296,-99.1331785,8843706,1,1,0,Mexico City;Mexico,
mexico-2,Tijuana,Baja California,,Mexico,mexico,32.5324608,-117.0189133,1810645,0,0,0,,
mexico-3,Ecatepec de Morelos,México,,Mexico,mexico,19.5990694,-99.0491586,1643623,0,0,0,Ecatepec,
mexico-4,León,Guanajuato,,Mexico,mexico,21.1219719,-101.6831997,1579803,0,0,0,León de los Aldama,
mexico-5,Puebla,Puebla,,Mexico,mexico,19.0439897,-98.1974947,1542232,0,1,0,Puebla de Zaragoza;Heróica Puebla de Zaragoza,
mexico-6,Ciudad Juárez,Chihuahua,,Mexico,mexico,31.7464653,-106.4850186,1501551,0,0,0,Juárez,
mexico-7,Guadalajara,Jalisco,,Mexico,mexico,20.6763889,-103.3422222,1385621,0,1,0,,
mexico-8,Zapopan,Jalisco,,Mexico,mexico,20.7209619,-103.3889878,1257547,0,0,0,,
mexico-9,Monterrey,Nuevo León,,Mexico,mexico,25.6646972,-100.3108917,1142952,0,1,0,,
mexico-10,Nezahualcóyotl,México,,Mexico,mexico,19.4087633,-99.0182,1072676,0,0,0,Ciudad Nezahualcóyotl;Neza,
mexico-11,Chihuahua,Chihuahua,,Mexico,mexico,28.6367939,-106.0763067,925762,0,1,0,,
mexico-12,Mérida,Yucatán,,Mexico,mexico,20.9675372,-89.6243917,921771,0,1,0,,
mexico-13,Naucalpan de Juárez,México,,Mexico,mexico,19.4788028,-99.2332181,911168,0,0,0,Naucalpan,
mexico-14,Cancún,Quintana Roo,,Mexico,mexico,21.1614161,-86.8248111,888797,0,0,0,,
mexico-15,Saltillo,Coahuila,,Mexico,mexico,25.4216647,-100.9997211,864431,0,1,0,,
mexico-16,Aguascalientes,Aguascalientes,,Mexico,mexico,21.8798228,-102.2960467,863893,0,1,0,,
mexico-17,Hermosillo,Sonora,,Mexico,mexico,29.0748917,-110.9584636,855563,0,1,0,,
mexico-18,Mexicali,Baja California,,Mexico,mexico,32.6411758,-115.4755789,854186,0,1,0,,
mexico-19,San Luis Potosí,San Luis Potosí,,Mexico,mexico,22.151655,-100.9769581,845941,0,1,0,San Luis,
mexico-20,Culiacán,Sinaloa,,Mexico,mexico,24.8088081,-107.3937561,808416,0,1,0,Culiacán Rosales,
mexico-21,Querétaro,Querétaro,,Mexico,mexico,20.5933911,-100.3899572,794789,0,1,0,Santiago de Querétaro,
mexico-22,Morelia,Michoacán,,Mexico,mexico,19.7033839,-101.1920464,743275,0,1,0,,
mexico-23,Chimalhuacán,México,,Mexico,mexico,19.4169075,-98.9452992,703215,0,0,0,,
mexico-24,Reynosa,Tamaulipas,,Mexico,mexico,26.09235,-98.2781292,691557,0,0,0,,
mexico-25,Torreón,Coahuila,,Mexico,mexico,25.5417533,-103.4530606,690193,0,0,0,,
mexico-26,Tlalnepantla,México,,Mexico,mexico,19.5385233,-99.1951983,658907,0,0,0,,
mexico-27,Acapulco,Guerrero,,Mexico,mexico,16.8618669,-99.8865578,658609,0,0,0,Acapulco de Juárez,
mexico-28,Tlaquepaque,Jalisco,,Mexico,mexico,20.6386111,-103.3072222,650123,0,0,0,San Pedro Tlaquepaque,
mexico-29,Guadalupe,Nuevo León,,Mexico,mexico,25.677325,-100.2598972,635862,0,0,0,,
mexico-30,Durango,Durango,,Mexico,mexico,24.0239881,-104.6701944,616068,0,1,0,Victoria de Durango,
mexico-31,Tuxtla Gutiérrez,Chiapas,,Mexico,mexico,16.7539722,-93.1151917,578830,0,1,0,Tuxtla,
mexico-32,Veracruz,Veracruz,,Mexico,mexico,19.1903233,-96.1530275,537963,0,0,0,,
mexico-33,Ciudad Apodaca,Nuevo León,,Mexico,mexico,25.7812944,-100.1892278,536436,0,0,0,Apodaca,
mexico-34,Ciudad López Mateos,México,,Mexico,mexico,19.5431706,-99.2350408,523065,0,0,0,López Mateos;Atizapán,
mexico-35,Cuautitlán Izcalli,México,,Mexico,mexico,19.6569956,-99.2092861,515353,0,0,0,,
mexico-36,Matamoros,Tamaulipas,,Mexico,mexico,25.8799153,-97.5048225,510739,0,0,0,Heroica Matamoros,
mexico-37,General Escobedo,Nuevo León,,Mexico,mexico,25.8079861,-100.3226417,454967,0,0,0,Ciudad General Escobedo,
mexico-38,Irapuato,Guanajuato,,Mexico,mexico,20.6728014,-101.3481169,452090,0,0,0,,
mexico-39,Xalapa-Enríquez,Veracruz,,Mexico,mexico,19.5270847,-96.9226447,443063,0,1,0,Xalapa;Jalapa,
mexico-40,Tonalá,Jalisco,,Mexico,mexico,20.6233333,-103.2455556,442440,0,0,0,,
mexico-41,Mazatlán,Sinaloa,,Mexico,mexico,23.2003158,-106.4222214,441975,0,0,0,,
mexico-42,Nuevo Laredo,Tamaulipas,,Mexico,mexico,27.4862914,-99.5084928,416055,0,0,0,,
mexico-43,San Nicolás de los Garza,Nuevo León,,Mexico,mexico,25.7552528,-100.2895861,412199,0,0,0,San Nicolás,
mexico-44,Ojo de Agua,México,,Mexico,mexico,19.6783028,-98.9976189,386290,0,0,0,,
mexico-45,Xico,México,,Mexico,mexico,19.278765,-98.9434486,384327,0,0,0,Valle de Chalco,
mexico-46,Celaya,Guanajuato,,Mexico,mexico,20.5215239,-100.8135731,378143,0,0,0,,
mexico-47,Tepic,Nayarit,,Mexico,mexico,21.5074131,-104.8937992,371387,0,1,0,,
mexico-48,Ixtapaluca,México,,Mexico,mexico,19.3131044,-98.8842472,368585,0,0,0,,
