entity_ine_code,name,municipality_ine_code,province_code,subdivision,population,male_2025,female_2025,nuclei_pop,disseminated_pop,locality_structure,latitude,longitude
01001000100,Alegría-Dulantzi,01001,01,País Vasco,2842,1456,1386,2842,0,nuclei only,42.84045247,-2.512507724
01001000200,Egileta,01001,01,País Vasco,119,67,52,119,0,nuclei only,42.8101189,-2.535543764
01002000100,Aloria,01002,01,País Vasco,24,14,10,24,0,nuclei only,42.99633625,-2.982035886
01002000200,Amurrio,01002,01,País Vasco,9256,4532,4724,9256,0,nuclei only,43.05265767,-3.001015194
01002000300,Artomaña,01002,01,País Vasco,63,33,30,63,0,nuclei only,42.98363568,-2.98190796
01002000500,Baranbio,01002,01,País Vasco,137,74,63,73,64,nuclei plus disseminated,43.04848035,-2.920819517
01002000600,Delika,01002,01,País Vasco,154,75,79,124,30,nuclei plus disseminated,42.97101677,-2.990098275
01002000700,Larrinbe,01002,01,País Vasco,252,133,119,85,167,nuclei plus disseminated,43.04400047,-2.982010581
01002000800,Lekamaña,01002,01,País Vasco,45,22,23,43,2,nuclei plus disseminated,43.02149019,-2.996148832
01002000900,Lezama,01002,01,País Vasco,246,146,100,0,246,disseminated only,43.02860994,-2.97184278
01002001100,Saratxo,01002,01,País Vasco,90,48,42,20,70,nuclei plus disseminated,43.02410122,-3.010798201
01002001200,Tertanga,01002,01,País Vasco,79,43,36,33,46,nuclei plus disseminated,42.97818461,-3.022813917
01003000100,Arexola,01003,01,País Vasco,52,30,22,0,52,disseminated only,43.04405018,-2.58079786
01003000200,Azkoaga,01003,01,País Vasco,145,77,68,0,145,disseminated only,43.04133483,-2.55806731
01003000300,Barajuen,01003,01,País Vasco,71,35,36,0,71,disseminated only,43.04846676,-2.55805273
01003000400,Etxaguen,01003,01,País Vasco,12,6,6,0,12,disseminated only,43.05748218,-2.5897319
01003000500,Gantzaga,01003,01,País Vasco,22,10,12,0,22,disseminated only,43.0645068,-2.58495646
01003000600,Ibarra,01003,01,País Vasco,809,409,400,731,78,nuclei plus disseminated,43.05257873,-2.564829379
01003000700,Oleta,01003,01,País Vasco,103,49,54,103,0,nuclei only,43.04832859,-2.630922609
01003000800,Untzilla,01003,01,País Vasco,61,33,28,0,61,disseminated only,43.04073982,-2.53969325
01003000900,Uribarri,01003,01,País Vasco,78,37,41,0,78,disseminated only,43.0395296,-2.57591814
01004000100,Artziniega,01004,01,País Vasco,1732,853,879,1732,0,nuclei only,43.1217919,-3.13052099
01004000200,Campijo,01004,01,País Vasco,12,5,7,0,12,disseminated only,43.14808916,-3.15922328
01004000300,Gordeliz,01004,01,País Vasco,35,16,19,0,35,disseminated only,43.11224999,-3.15925401
01004000400,Mendieta,01004,01,País Vasco,8,8,0,0,8,disseminated only,43.13488436,-3.13384805
01004000500,Retes de Tudela/Erretes Tudela,01004,01,País Vasco,37,21,16,37,0,nuclei only,43.1145508,-3.168250202
01004000600,Santa Koloma,01004,01,País Vasco,12,7,5,0,12,disseminated only,43.13809557,-3.15796794
01004000700,Sojoguti/Soxoguti,01004,01,País Vasco,32,15,17,0,32,disseminated only,43.11201514,-3.13122985
01006000100,Armiñón,01006,01,País Vasco,106,56,50,106,0,nuclei only,42.72340924,-2.872270813
01006000200,Estavillo,01006,01,País Vasco,125,65,60,125,0,nuclei only,42.72789862,-2.860116047
01006000300,Lacorzana,01006,01,País Vasco,2,2,0,2,0,nuclei only,42.68758008,-2.886864
01008000100,Arroiabe,01008,01,País Vasco,94,46,48,94,0,nuclei only,42.91601863,-2.617799257
01008000200,Arzubiaga,01008,01,País Vasco,15,7,8,0,15,disseminated only,42.88074208,-2.61925728
01008000300,Betolaza,01008,01,País Vasco,25,13,12,25,0,nuclei only,42.94008937,-2.667715446
01008000400,Ziriano,01008,01,País Vasco,19,9,10,0,19,disseminated only,42.9296071,-2.67540003
01008000500,Durana,01008,01,País Vasco,394,211,183,394,0,nuclei only,42.88990689,-2.640208161
01008000600,Landa,01008,01,País Vasco,37,25,12,34,3,nuclei plus disseminated,42.96033804,-2.589347063
01008000700,Luko,01008,01,País Vasco,56,34,22,56,0,nuclei only,42.93464904,-2.6420746
01008000800,Mendibil,01008,01,País Vasco,43,26,17,43,0,nuclei only,42.90549195,-2.629107995
01008000900,Nanclares de Ganboa/Langara Ganboa,01008,01,País Vasco,13,6,7,10,3,nuclei plus disseminated,42.92106494,-2.576337835
01008001000,Ullivarri-Gamboa,01008,01,País Vasco,81,42,39,65,16,nuclei plus disseminated,42.93788295,-2.607755287
01008001100,Zurbano/Zurbao,01008,01,País Vasco,281,137,144,281,0,nuclei only,42.87185304,-2.617204912
01009000100,Albeiz/Albéniz,01009,01,País Vasco,78,44,34,78,0,nuclei only,42.87461178,-2.307673592
01009000200,Ametzaga,01009,01,País Vasco,37,15,22,37,0,nuclei only,42.87364662,-2.326770062
01009000300,Andoin,01009,01,País Vasco,22,12,10,22,0,nuclei only,42.85922389,-2.266054743
01009000400,Araia,01009,01,País Vasco,1232,622,610,1210,22,nuclei plus disseminated,42.88962423,-2.317425972
01009000500,Arriola,01009,01,País Vasco,49,26,23,45,4,nuclei plus disseminated,42.91205876,-2.390870973
01009000600,Egino,01009,01,País Vasco,67,33,34,54,13,nuclei plus disseminated,42.87042513,-2.263117567
01009000700,Gordoa,01009,01,País Vasco,35,19,16,35,0,nuclei only,42.90183041,-2.382919697
01009000800,Ibarguren,01009,01,País Vasco,19,8,11,19,0,nuclei only,42.86147529,-2.27762744
01009000900,Ilarduia,01009,01,País Vasco,57,28,29,51,6,nuclei plus disseminated,42.87274804,-2.285804643
01009001000,Urabain,01009,01,País Vasco,15,7,8,15,0,nuclei only,42.86332332,-2.294654159
01010000100,Agiñaga,01010,01,País Vasco,21,8,13,0,21,disseminated only,43.03464399,-3.07063415
01010000200,Añes,01010,01,País Vasco,19,12,7,0,19,disseminated only,43.05819114,-3.13289708
01010000300,Beotegi,01010,01,País Vasco,67,29,38,0,67,disseminated only,43.08892237,-3.07563416
01010000400,Costera/Opellora,01010,01,País Vasco,30,15,15,0,30,disseminated only,43.10276738,-3.10454276
01010000500,Etxegoien,01010,01,País Vasco,19,12,7,0,19,disseminated only,43.0430198,-3.02155885
01010000600,Erbi,01010,01,País Vasco,10,6,4,0,10,disseminated only,43.07544582,-3.11490136
01010000700,Izoria,01010,01,País Vasco,179,95,84,179,0,nuclei only,43.06079534,-3.039198428
01010000800,Lejarzo/Lexartzu,01010,01,País Vasco,16,5,11,0,16,disseminated only,43.05929355,-3.1212575
01010000900,Luxo/Lujo,01010,01,País Vasco,3,2,1,0,3,disseminated only,43.07892948,-3.09653025
01010001000,Luiaondo,01010,01,País Vasco,1225,618,607,1225,0,nuclei only,43.09747564,-2.999852648
01010001100,Llanteno,01010,01,País Vasco,105,54,51,105,0,nuclei only,43.11005986,-3.095229025
01010001200,Madaria,01010,01,País Vasco,6,3,3,0,6,disseminated only,43.04434139,-3.0854026
01010001300,Maroño,01010,01,País Vasco,28,13,15,0,28,disseminated only,43.05111176,-3.05839819
01010001400,Menagarai,01010,01,País Vasco,143,66,77,143,0,nuclei only,43.09608177,-3.07313585
01010001500,Menoio,01010,01,País Vasco,33,17,16,33,0,nuclei only,43.06946626,-3.072881172
01010001600,Murga,01010,01,País Vasco,124,73,51,124,0,nuclei only,43.07560574,-3.025607625
01010001700,Ozeka,01010,01,País Vasco,9,6,3,0,9,disseminated only,43.07135515,-3.08667993
01010001800,Olabezar,01010,01,País Vasco,78,42,36,0,78,disseminated only,43.06936922,-3.01434523
01010001900,Quejana/Kexaa,01010,01,País Vasco,37,23,14,0,37,disseminated only,43.07812,-3.0701055
01010002000,Arespalditza/Respaldiza,01010,01,País Vasco,498,253,245,425,73,nuclei plus disseminated,43.07792083,-3.042683621
01010002100,Retes de Llanteno,01010,01,País Vasco,60,32,28,60,0,nuclei only,43.0910566,-3.099845393
01010002200,Salmantón,01010,01,País Vasco,30,20,10,30,0,nuclei only,43.05300975,-3.086973988
01010002300,Soxo/Sojo,01010,01,País Vasco,43,21,22,0,43,disseminated only,43.08991688,-3.1234058
01010002400,Zuaza/Zuhatza,01010,01,País Vasco,134,64,70,134,0,nuclei only,43.09981257,-3.049341142
01011000100,Baños de Ebro/Mañueta,01011,01,País Vasco,292,168,124,292,0,nuclei only,42.53023483,-2.679560658
01013000100,Audikana,01013,01,País Vasco,21,14,7,21,0,nuclei only,42.8827072,-2.485599378
01013000200,Dallo,01013,01,País Vasco,22,10,12,20,2,nuclei plus disseminated,42.87263507,-2.467805844
01013000300,Etxabarri Urtupiña,01013,01,País Vasco,54,26,28,53,1,nuclei plus disseminated,42.86789671,-2.501477369
01013000400,Elgea,01013,01,País Vasco,50,30,20,0,50,disseminated only,42.938698,-2.512672
01013000500,Etura,01013,01,País Vasco,65,35,30,65,0,nuclei only,42.89191784,-2.490804248
01013000700,Gebara,01013,01,País Vasco,59,32,27,59,0,nuclei only,42.89409239,-2.51127883
01013000800,Heredia,01013,01,País Vasco,67,40,27,67,0,nuclei only,42.87821834,-2.443664862
01013000900,Hermua,01013,01,País Vasco,52,23,29,52,0,nuclei only,42.91675756,-2.47800898
01013001000,Larrea,01013,01,País Vasco,99,57,42,79,20,nuclei plus disseminated,42.91421296,-2.460887329
01013001100,Marieta-Larrintzar,01013,01,País Vasco,79,39,40,78,1,nuclei plus disseminated,42.9261296,-2.539461017
01013001200,Maturana,01013,01,País Vasco,46,23,23,45,1,nuclei plus disseminated,42.89579058,-2.518862187
01013001300,Mendixur/Mendíjur,01013,01,País Vasco,46,33,13,38,8,nuclei plus disseminated,42.88642338,-2.537324489
01013001400,Ozaeta,01013,01,País Vasco,214,120,94,201,13,nuclei plus disseminated,42.91759943,-2.496599499
01013001700,Barrundia,01013,01,País Vasco,8,4,4,0,8,disseminated only,42.9264824,-2.46334826
01014000100,Berantevilla,01014,01,País Vasco,329,165,164,324,5,nuclei plus disseminated,42.68269243,-2.859369462
01014000200,Escanzana,01014,01,País Vasco,6,4,2,6,0,nuclei only,42.69357978,-2.845712815
01014000300,Lacervilla,01014,01,País Vasco,21,11,10,21,0,nuclei only,42.71238162,-2.840262358
01014000400,Lacorzanilla,01014,01,País Vasco,4,2,2,4,0,nuclei only,42.677585,-2.887516
