code,name,state,territory,country,quiz,latitude,longitude,population,national_capital,state_capital,manually_added,nicknames,db_match,name_ar
syria-1,Dimashq,Dimashq,,Syria,asia,33.5130695,36.3095814,1414913,1,1,,,,دمشق
syria-2,Al-Yarmūk,Dimashq,,Syria,asia,33.4724791,36.3048029,137248,0,0,,,,اليرموك
syria-3,At-Tall,Rīf Dimashq,,Syria,asia,33.6086226,36.3119984,44597,0,0,,,,التل
syria-4,Manīn,Rīf Dimashq,,Syria,asia,33.6407928,36.2990787,17521,0,0,,,,منين
syria-5,Ma'rabā,Rīf Dimashq,,Syria,asia,33.5759528,36.2976262,10290,0,0,,,,معربا
syria-6,Rankūs,Rīf Dimashq,,Syria,asia,33.7561105,36.3903366,7717,0,0,,,,رنكوس
syria-7,Baddā,Rīf Dimashq,,Syria,asia,33.686692,36.4287694,6564,0,0,,,,بدا
syria-8,Ḥalbūn,Rīf Dimashq,,Syria,asia,33.6632317,36.2474975,6521,0,0,,,,حلبون
syria-9,Ṣaydnāyā,Rīf Dimashq,,Syria,asia,33.698858,36.3726513,5194,0,0,,,,صيدنايا
syria-10,Talfītā,Rīf Dimashq,,Syria,asia,33.7014136,36.3191469,4082,0,0,,,,تلفيتا
syria-11,Ḥafīr al-Fawqā,Rīf Dimashq,,Syria,asia,33.7121277,36.4727006,3441,0,0,,,,حفير الفوقا
syria-12,Ma'arrat Ṣaydnāyā,Rīf Dimashq,,Syria,asia,33.6711731,36.3844877,3084,0,0,,,,معرة صيدنايا
syria-13,Ḥawsh 'Arab,Rīf Dimashq,,Syria,asia,33.8140915,36.4478895,2073,0,0,,,,حوش عرب
syria-14,Ad-Durayj,Rīf Dimashq,,Syria,asia,33.6212939,36.260153,1769,0,0,,,,الدريج
syria-15,Ma'rūnah,Rīf Dimashq,,Syria,asia,33.6376486,36.4001582,1153,0,0,,,,معرونة
syria-16,Al-Fayyāḍiyah,Rīf Dimashq,,Syria,asia,33.805679,36.4113833,785,0,0,,,,الفياضية
syria-17,Akūbar,Rīf Dimashq,,Syria,asia,33.7415429,36.4690684,563,0,0,,,,عكوبر
syria-18,Al-Jurniyah,Rīf Dimashq,,Syria,asia,33.7825611,36.3919721,271,0,0,,,,الجرنية
syria-19,Al-Maḥabbah,Rīf Dimashq,,Syria,asia,33.8000372,36.4237601,100,0,0,,,,المحبة
